Battery price decrease (2022 = 100%),,,,
-,,,,
NREL (https://www.nrel.gov/docs/fy23osti/85332.pdf),,,,
timeline,bands,Value,,
2008,low,1,,
2009,low,1,,
2010,low,1,,
2011,low,1,,
2012,low,1,,
2013,low,1,,
2014,low,1,,
2015,low,1,,
2016,low,1,,
2017,low,1,,
2018,low,1,,
2019,low,1,,
2020,low,1,,
2021,low,1,,
2022,low,1,,
2023,low,0.72,,
2024,low,0.68,,
2025,low,0.64,,
2026,low,0.62,,
2027,low,0.59,,
2028,low,0.56,,
2029,low,0.54,,
2030,low,0.51,,
2031,low,0.5,,
2032,low,0.49,,
2033,low,0.48,,
2034,low,0.47,,
2035,low,0.46,,
2036,low,0.45,,
2037,low,0.45,,
2038,low,0.44,,
2039,low,0.43,,
2040,low,0.42,,
2041,low,0.41,,
2042,low,0.4,,
2043,low,0.39,,
2044,low,0.38,,
2045,low,0.37,,
2046,low,0.37,,
2047,low,0.36,,
2048,low,0.35,,
2049,low,0.34,,
2050,low,0.33,,
2008,mid,1,,
2009,mid,1,,
2010,mid,1,,
2011,mid,1,,
2012,mid,1,,
2013,mid,1,,
2014,mid,1,,
2015,mid,1,,
2016,mid,1,,
2017,mid,1,,
2018,mid,1,,
2019,mid,1,,
2020,mid,1,,
2021,mid,1,,
2022,mid,1,,
2023,mid,0.96,,
2024,mid,0.92,,
2025,mid,0.81,,
2026,mid,0.78,,
2027,mid,0.75,,
2028,mid,0.73,,
2029,mid,0.7,,
2030,mid,0.68,,
2031,mid,0.67,,
2032,mid,0.66,,
2033,mid,0.65,,
2034,mid,0.63,,
2035,mid,0.62,,
2036,mid,0.61,,
2037,mid,0.6,,
2038,mid,0.59,,
2039,mid,0.58,,
2040,mid,0.57,,
2041,mid,0.56,,
2042,mid,0.55,,
2043,mid,0.54,,
2044,mid,0.53,,
2045,mid,0.52,,
2046,mid,0.51,,
2047,mid,0.5,,
2048,mid,0.49,,
2049,mid,0.48,,
2050,mid,0.47,,
2008,high,1,,
2009,high,1,,
2010,high,1,,
2011,high,1,,
2012,high,1,,
2013,high,1,,
2014,high,1,,
2015,high,1,,
2016,high,1,,
2017,high,1,,
2018,high,1,,
2019,high,1,,
2020,high,1,,
2021,high,1,,
2022,high,1,,
2023,high,1.04,,
2024,high,1.04,,
2025,high,1.03,,
2026,high,0.99,,
2027,high,0.95,,
2028,high,0.91,,
2029,high,0.88,,
2030,high,0.84,,
2031,high,0.83,,
2032,high,0.83,,
2033,high,0.82,,
2034,high,0.81,,
2035,high,0.81,,
2036,high,0.8,,
2037,high,0.8,,
2038,high,0.79,,
2039,high,0.79,,
2040,high,0.78,,
2041,high,0.77,,
2042,high,0.77,,
2043,high,0.76,,
2044,high,0.76,,
2045,high,0.75,,
2046,high,0.75,,
2047,high,0.74,,
2048,high,0.73,,
2049,high,0.73,,
2050,high,0.72,,
